method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
Seurat_CCA,celseq,indrop,celseq vs indrop,alpha,213,500,10000,10000,10000,10.387447428446794,9.499720419669256,1.0934476984122072,0.08933573046380047
Seurat_CCA,celseq,indrop,celseq vs indrop,beta,161,500,10000,10000,10000,9.814714760106458,9.362285581519087,1.0483246504977861,0.04719331893595845
Seurat_CCA,celseq,indrop,celseq vs indrop,delta,50,500,10000,1225,10000,8.080000079001493,8.227010987931001,0.9821307022507723,0.018030881469383066
Seurat_CCA,celseq,indrop,celseq vs indrop,ductal,304,500,10000,10000,10000,25.749996408792597,24.725036540612923,1.041454331786167,0.040618132256476244
Seurat_CCA,celseq,indrop,celseq vs indrop,gamma,18,266,4788,153,10000,8.521581284135966,9.703057789094519,0.8782366826376691,0.12983915147218242
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,acinar,229,188,10000,10000,10000,19.323868642000843,18.87316682857137,1.0238805610909543,0.023599880254778636
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,activated_stellate,19,55,1045,171,1485,23.464092982009003,25.550697079978455,0.9183347486983235,0.08519330483212534
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,alpha,213,500,10000,10000,10000,7.138651741949709,7.118056695997362,1.00289335233364,0.0028891746461846405
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,beta,161,308,10000,10000,10000,8.655919100601327,8.53760305443707,1.0138582275856414,0.013763080389664114
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,delta,50,127,6350,1225,8001,6.9109989333511415,6.620157128901355,1.0439327645532868,0.04299508561768161
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,ductal,304,444,10000,10000,10000,25.17740438398752,24.99389092857861,1.00734233240968,0.0073155087060813775
Seurat_CCA,celseq,smartseq2,celseq vs smartseq2,gamma,18,213,3834,153,10000,6.540162675400914,6.447509864801586,1.014370324752063,0.01426805028244394
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,acinar,274,21,5754,10000,210,17.465692571500455,17.9406863129628,0.9735242156751192,0.026832579620377387
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,activated_stellate,90,16,1440,4005,120,18.54191517102906,19.82747846969515,0.9351625421946124,0.06703492288283401
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,alpha,500,241,10000,10000,10000,6.009334267269198,5.999246621284068,1.0016814854634148,0.0016800733494774333
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,beta,445,258,10000,10000,10000,6.041454662512026,5.994703950480986,1.0077986690280658,0.0077684165927858675
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,delta,203,25,5075,10000,300,5.885221064793667,6.097885296077803,0.9651249210245193,0.03549773418243728
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,ductal,257,34,8738,10000,561,21.622596366813234,22.74974555143557,0.950454426750667,0.05081506480947561
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,endothelial,21,14,294,210,91,16.799767558528373,15.646081008591848,1.0737364551099404,0.07114457967093413
Seurat_CCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,gamma,110,18,1980,5995,153,5.404671704180455,5.625294680573525,0.9607801921639816,0.040009624411409296
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,acinar,274,500,10000,10000,10000,18.423507539348183,16.106712274210256,1.143840358336042,0.13439133631097608
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,activated_stellate,90,294,10000,4005,10000,27.94455771935683,27.884603987543123,1.0021500657438238,0.0021477576602346522
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,alpha,500,500,10000,10000,10000,9.34137721039918,8.141488400326244,1.1473795393511652,0.13748068084184245
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,beta,445,500,10000,10000,10000,9.1790657570914,8.339885145922569,1.1006225621199488,0.09587598526980892
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,delta,203,500,10000,10000,10000,7.547306054915205,7.163419447959212,1.0535898546420255,0.052203242169389784
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,ductal,257,500,10000,10000,10000,25.89681060175341,24.752922615010228,1.046212239440749,0.04517625083523312
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,endothelial,21,235,4935,210,10000,22.224796374349015,24.59681409302526,0.9035640262309882,0.1014083067888174
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,gamma,110,266,10000,5995,10000,8.140753458627216,8.088568362344779,1.0064517098631913,0.006430986668713062
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,macrophage,15,55,825,105,1485,25.297174483893127,23.55997754093555,1.0737350848462903,0.07114330350626828
Seurat_CCA,celseq2,indrop,celseq2 vs indrop,quiescent_stellate,12,160,1920,66,10000,31.044129310611993,23.173948865638604,1.3396132653353254,0.29238096434881583
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,acinar,274,188,10000,10000,10000,19.701804432193377,19.350363278664965,1.0181619925407757,0.017999033701365835
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,activated_stellate,90,55,4950,4005,1485,23.614867161420946,21.724481533605314,1.0870163748161916,0.0834366722539352
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,alpha,500,500,10000,10000,10000,6.358401990463968,6.2808432768579054,1.0123484554839686,0.012272835200266247
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,beta,445,308,10000,10000,10000,7.565947185493713,7.531030883096081,1.004636324420871,0.00462560977375935
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,delta,203,127,10000,10000,8001,6.379251482611986,6.303439360974931,1.0120271041403863,0.011955353254039743
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,ductal,257,444,10000,10000,10000,24.813774235722235,24.697158177339695,1.0047218411748093,0.004710728251345151
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,endothelial,21,21,441,210,210,20.167977172067392,19.409087284097108,1.0390997205001022,0.038354684893752655
Seurat_CCA,celseq2,smartseq2,celseq2 vs smartseq2,gamma,110,213,10000,5995,10000,6.119449156108912,6.128645131583287,0.9984995092264382,0.001501617637216026
Seurat_CCA,fluidigmc1,indrop,fluidigmc1 vs indrop,acinar,21,500,10000,210,10000,14.842945819502152,14.544556833255431,1.020515508974771,0.020307900579789862
Seurat_CCA,fluidigmc1,indrop,fluidigmc1 vs indrop,activated_stellate,16,294,4704,120,10000,27.532468293643667,31.113308335502225,0.8849096983436957,0.12226967495004619
Seurat_CCA,fluidigmc1,indrop,fluidigmc1 vs indrop,alpha,241,500,10000,10000,10000,9.463679586135495,8.668977126065762,1.0916719987275352,0.08771046473774381
